gid,landarea_lbl,landarea_val,경도,위도
占썬끉沅?2aa53ab,,,126.844554,37.577939
占썬끉沅?2ab47bb,357.95,357.9499999999990000000000000000000,126.847817,37.528383
占썬끉沅?2ab48aa,319.46,319.4599999999990000000000000000000,126.847797,37.530636
占썬끉沅?2ab48ab,261.19,261.1899999999990000000000000000000,126.847778,37.532890
占썬끉沅?2ab48ba,227.08,227.0800000000000000000000000000000,126.847758,37.535143
占썬끉沅?2ab48bb,249.41,249.4099999999990000000000000000000,126.847739,37.537396
占썬끉沅?2ab49aa,279.39,279.3899999999990000000000000000000,126.847719,37.539649
占썬끉沅?2ab49ab,214.98,214.9799999999990000000000000000000,126.847699,37.541903
占썬끉沅?2ab49ba,522.78,522.7799999999990000000000000000000,126.847680,37.544156
占썬끉沅?2ab49bb,263.52,263.5199999999990000000000000000000,126.847660,37.546409
占썬끉沅?2ab50aa,440.07,440.0699999999990000000000000000000,126.847640,37.548662
占썬끉沅?2ab50ab,276.87,276.8700000000000000000000000000000,126.847621,37.550916
占썬끉沅?2ab50ba,1243.11,1243.1099999999900000000000000000000,126.847601,37.553169
占썬끉沅?2ab50bb,61815.70,61815.6999999999000000000000000000000,126.847581,37.555422
占썬끉沅?2ab51aa,3894.60,3894.5999999999900000000000000000000,126.847562,37.557675
占썬끉沅?2ab51ab,11501.61,11501.6100000000000000000000000000000,126.847542,37.559929
占썬끉沅?2ab51ba,19800.89,19800.8899999999000000000000000000000,126.847522,37.562182
占썬끉沅?2ab51bb,10322.48,10322.4799999999000000000000000000000,126.847503,37.564435
占썬끉沅?2ab52aa,55537.17,55537.1699999999000000000000000000000,126.847483,37.566688
占썬끉沅?2ab52ab,13360.32,13360.3199999999000000000000000000000,126.847464,37.568942
占썬끉沅?2ab52ba,40328.96,40328.9599999999000000000000000000000,126.847444,37.571195
占썬끉沅?2ab52bb,,,126.847424,37.573448
占썬끉沅?2ab53aa,,,126.847405,37.575701
占썬끉沅?2ab53ab,,,126.847385,37.577954
占썬끉沅?2ba47bb,316.54,316.5400000000000000000000000000000,126.850646,37.528399
占썬끉沅?2ba48aa,218.07,218.0699999999990000000000000000000,126.850627,37.530652
占썬끉沅?2ba48ab,251.65,251.6500000000000000000000000000000,126.850607,37.532905
占썬끉沅?2ba48ba,259.73,259.7300000000000000000000000000000,126.850588,37.535158
占썬끉沅?2ba48bb,333.33,333.3299999999990000000000000000000,126.850568,37.537412
占썬끉沅?2ba49aa,263.52,263.5199999999990000000000000000000,126.850549,37.539665
占썬끉沅?2ba49ab,443.48,443.4800000000000000000000000000000,126.850529,37.541918
占썬끉沅?2ba49ba,241.91,241.9099999999990000000000000000000,126.850509,37.544171
占썬끉沅?2ba49bb,219.99,219.9900000000000000000000000000000,126.850490,37.546425
占썬끉沅?2ba50aa,244.10,244.0999999999990000000000000000000,126.850470,37.548678
占썬끉沅?2ba50ab,969.11,969.1100000000000000000000000000000,126.850451,37.550931
占썬끉沅?2ba50ba,399.82,399.8199999999990000000000000000000,126.850431,37.553184
占썬끉沅?2ba50bb,14605.94,14605.9400000000000000000000000000000,126.850412,37.555438
占썬끉沅?2ba51aa,2389.94,2389.9400000000000000000000000000000,126.850392,37.557691
占썬끉沅?2ba51ab,10737.00,10737.0000000000000000000000000000000,126.850373,37.559944
占썬끉沅?2ba51ba,2272.08,2272.0799999999900000000000000000000,126.850353,37.562197
占썬끉沅?2ba51bb,11707.47,11707.4699999999000000000000000000000,126.850333,37.564451
占썬끉沅?2ba52aa,18035.86,18035.8600000000000000000000000000000,126.850314,37.566704
占썬끉沅?2ba52ab,5622.05,5622.0500000000000000000000000000000,126.850294,37.568957
占썬끉沅?2ba52ba,17487.40,17487.4000000000000000000000000000000,126.850275,37.571210
占썬끉沅?2ba52bb,,,126.850255,37.573464
占썬끉沅?2ba53aa,,,126.850236,37.575717
占썬끉沅?2bb47bb,311.30,311.3000000000000000000000000000000,126.853476,37.528414
占썬끉沅?2bb48aa,225.59,225.5900000000000000000000000000000,126.853456,37.530667
占썬끉沅?2bb48ab,652.75,652.7500000000000000000000000000000,126.853437,37.532921
占썬끉沅?2bb48ba,278.23,278.2300000000000000000000000000000,126.853417,37.535174
占썬끉沅?2bb48bb,1020.37,1020.3700000000000000000000000000000,126.853398,37.537427
占썬끉沅?2bb49aa,323.65,323.6499999999990000000000000000000,126.853378,37.539680
