gid,landprice_lbl,landprice_val,경도,위도
占썬끉沅?7aa50aa,196539.26,196539.2600000000000000000000000000000,126.788210,37.548319
占썬끉沅?7aa50ab,199000.00,199000.0000000000000000000000000000000,126.788189,37.550572
占썬끉沅?7aa50ba,199000.03,199000.0299999990000000000000000000000,126.788167,37.552825
占썬끉沅?7aa50bb,385779.14,385779.1400000000000000000000000000000,126.788146,37.555079
占썬끉沅?7aa51aa,,,126.788125,37.557332
占썬끉沅?7aa51ab,390371.01,390371.0100000000000000000000000000000,126.788103,37.559585
占썬끉沅?7aa51ba,390506.36,390506.3599999990000000000000000000000,126.788082,37.561838
占썬끉沅?7aa51bb,390500.00,390500.0000000000000000000000000000000,126.788060,37.564092
占썬끉沅?7aa52aa,193773.95,193773.9500000000000000000000000000000,126.788039,37.566345
占썬끉沅?7aa52ab,185771.31,185771.3099999990000000000000000000000,126.788017,37.568598
占썬끉沅?7aa52ba,177258.31,177258.3099999990000000000000000000000,126.787996,37.570851
占썬끉沅?7aa52bb,172059.11,172059.1099999990000000000000000000000,126.787974,37.573104
占썬끉沅?7aa53aa,203545.85,203545.8500000000000000000000000000000,126.787953,37.575358
占썬끉沅?7aa53ab,127499.97,127499.9700000000000000000000000000000,126.787932,37.577611
占썬끉沅?7ab49ab,236119.63,236119.6300000000000000000000000000000,126.791104,37.541576
占썬끉沅?7ab49ba,188199.17,188199.1700000000000000000000000000000,126.791083,37.543830
占썬끉沅?7ab49bb,578034.92,578034.9200000000000000000000000000000,126.791062,37.546083
占썬끉沅?7ab50aa,199000.01,199000.0100000000000000000000000000000,126.791040,37.548336
占썬끉沅?7ab50ab,198999.98,198999.9800000000000000000000000000000,126.791019,37.550589
占썬끉沅?7ab50ba,199000.15,199000.1499999990000000000000000000000,126.790998,37.552842
占썬끉沅?7ab50bb,,,126.790976,37.555096
占썬끉沅?7ab51aa,,,126.790955,37.557349
占썬끉沅?7ab51ab,,,126.790934,37.559602
占썬끉沅?7ab51ba,,,126.790912,37.561855
占썬끉沅?7ab51bb,,,126.790891,37.564109
占썬끉沅?7ab52aa,170651.99,170651.9899999990000000000000000000000,126.790869,37.566362
占썬끉沅?7ab52ab,177919.01,177919.0100000000000000000000000000000,126.790848,37.568615
占썬끉沅?7ab52ba,179171.05,179171.0499999990000000000000000000000,126.790827,37.570868
占썬끉沅?7ab52bb,198458.42,198458.4200000000000000000000000000000,126.790805,37.573121
占썬끉沅?7ab53aa,219815.69,219815.6900000000000000000000000000000,126.790784,37.575375
占썬끉沅?7ab53ab,127732.19,127732.1900000000000000000000000000000,126.790763,37.577628
占썬끉沅?7ab53ba,129108.45,129108.4499999990000000000000000000000,126.790741,37.579881
占썬끉沅?7ab53bb,248199.11,248199.1099999990000000000000000000000,126.790720,37.582134
占썬끉沅?7ba48ba,60298.21,60298.2099999999000000000000000000000,126.793998,37.534834
占썬끉沅?7ba48bb,180991.63,180991.6300000000000000000000000000000,126.793977,37.537087
占썬끉沅?7ba49aa,188468.49,188468.4899999990000000000000000000000,126.793955,37.539340
占썬끉沅?7ba49ab,216769.56,216769.5599999990000000000000000000000,126.793934,37.541593
占썬끉沅?7ba49ba,191385.10,191385.1000000000000000000000000000000,126.793913,37.543847
占썬끉沅?7ba49bb,198421.50,198421.5000000000000000000000000000000,126.793892,37.546100
占썬끉沅?7ba50aa,406148.99,406148.9899999990000000000000000000000,126.793870,37.548353
占썬끉沅?7ba50ab,321191.29,321191.2899999990000000000000000000000,126.793849,37.550606
占썬끉沅?7ba50ba,,,126.793828,37.552859
占썬끉沅?7ba50bb,390500.00,390500.0000000000000000000000000000000,126.793806,37.555113
占썬끉沅?7ba51aa,,,126.793785,37.557366
占썬끉沅?7ba51ab,,,126.793764,37.559619
占썬끉沅?7ba51ba,390501.85,390501.8499999990000000000000000000000,126.793743,37.561872
占썬끉沅?7ba51bb,390519.54,390519.5399999990000000000000000000000,126.793721,37.564126
占썬끉沅?7ba52aa,152668.78,152668.7799999990000000000000000000000,126.793700,37.566379
占썬끉沅?7ba52ab,170960.78,170960.7799999990000000000000000000000,126.793679,37.568632
占썬끉沅?7ba52ba,171360.26,171360.2600000000000000000000000000000,126.793658,37.570885
占썬끉沅?7ba52bb,218082.56,218082.5599999990000000000000000000000,126.793636,37.573138
占썬끉沅?7ba53aa,230649.70,230649.7000000000000000000000000000000,126.793615,37.575392
占썬끉沅?7ba53ab,166775.61,166775.6099999990000000000000000000000,126.793594,37.577645
占썬끉沅?7ba53ba,127129.23,127129.2299999990000000000000000000000,126.793572,37.579898
占썬끉沅?7ba53bb,251391.82,251391.8200000000000000000000000000000,126.793551,37.582151
占썬끉沅?7ba54aa,116417.79,116417.7899999990000000000000000000000,126.793530,37.584404
占썬끉沅?7bb48bb,244058.15,244058.1499999990000000000000000000000,126.796806,37.537104
占썬끉沅?7bb49aa,208160.34,208160.3399999990000000000000000000000,126.796785,37.539357
占썬끉沅?7bb49ab,503115.65,503115.6500000000000000000000000000000,126.796764,37.541610
占썬끉沅?7bb49ba,201436.25,201436.2500000000000000000000000000000,126.796743,37.543863
占썬끉沅?7bb49bb,623168.60,623168.5999999990000000000000000000000,126.796721,37.546117
占썬끉沅?7bb50aa,243904.88,243904.8800000000000000000000000000000,126.796700,37.548370
占썬끉沅?7bb50ab,390536.75,390536.7500000000000000000000000000000,126.796679,37.550623
占썬끉沅?7bb50ba,,,126.796658,37.552876
占썬끉沅?7bb50bb,,,126.796637,37.555130
占썬끉沅?7bb51aa,,,126.796616,37.557383
占썬끉沅?7bb51ab,,,126.796594,37.559636
占썬끉沅?7bb51ba,,,126.796573,37.561889
占썬끉沅?7bb51bb,,,126.796552,37.564142
占썬끉沅?7bb52aa,390497.34,390497.3400000000000000000000000000000,126.796531,37.566396
占썬끉沅?7bb52ab,162167.47,162167.4700000000000000000000000000000,126.796510,37.568649
占썬끉沅?7bb52ba,208863.10,208863.1000000000000000000000000000000,126.796488,37.570902
占썬끉沅?7bb52bb,242095.23,242095.2300000000000000000000000000000,126.796467,37.573155
占썬끉沅?7bb53aa,245300.48,245300.4800000000000000000000000000000,126.796446,37.575409
占썬끉沅?7bb53ab,217736.72,217736.7200000000000000000000000000000,126.796425,37.577662
占썬끉沅?7bb53ba,129817.07,129817.0700000000000000000000000000000,126.796404,37.579915
占썬끉沅?7bb53bb,212515.64,212515.6400000000000000000000000000000,126.796382,37.582168
占썬끉沅?7bb54aa,172291.57,172291.5700000000000000000000000000000,126.796361,37.584421
占썬끉沅?7bb54ab,161502.65,161502.6499999990000000000000000000000,126.796340,37.586675
占썬끉沅?7bb55ab,68499.93,68499.9299999999000000000000000000000,126.796255,37.595687
占썬끉沅?7bb55ba,68500.02,68500.0200000000000000000000000000000,126.796234,37.597941
占썬끉沅?7bb55bb,,,126.796213,37.600194
占썬끉沅?8aa48bb,195798.46,195798.4599999990000000000000000000000,126.799636,37.537121
占썬끉沅?8aa49aa,205924.63,205924.6300000000000000000000000000000,126.799615,37.539374
占썬끉沅?8aa49ab,621302.16,621302.1600000000000000000000000000000,126.799593,37.541627
占썬끉沅?8aa49ba,582598.28,582598.2800000000000000000000000000000,126.799572,37.543880
占썬끉沅?8aa49bb,397630.18,397630.1799999990000000000000000000000,126.799551,37.546133
占썬끉沅?8aa50aa,390499.40,390499.4000000000000000000000000000000,126.799530,37.548387
占썬끉沅?8aa50ab,390566.58,390566.5800000000000000000000000000000,126.799509,37.550640
占썬끉沅?8aa50ba,,,126.799488,37.552893
占썬끉沅?8aa50bb,,,126.799467,37.555146
占썬끉沅?8aa51aa,,,126.799446,37.557400
占썬끉沅?8aa51ab,,,126.799425,37.559653
占썬끉沅?8aa51ba,2185000.08,2185000.0800000000000000000000000000000,126.799404,37.561906
占썬끉沅?8aa51bb,998234.94,998234.9399999990000000000000000000000,126.799383,37.564159
占썬끉沅?8aa52aa,390500.19,390500.1900000000000000000000000000000,126.799361,37.566412
占썬끉沅?8aa52ab,390499.99,390499.9899999990000000000000000000000,126.799340,37.568666
占썬끉沅?8aa52ba,282135.42,282135.4199999990000000000000000000000,126.799319,37.570919
占썬끉沅?8aa52bb,242574.51,242574.5100000000000000000000000000000,126.799298,37.573172
占썬끉沅?8aa53aa,234703.75,234703.7500000000000000000000000000000,126.799277,37.575425
占썬끉沅?8aa53ab,310747.36,310747.3599999990000000000000000000000,126.799256,37.577679
占썬끉沅?8aa53ba,962368.75,962368.7500000000000000000000000000000,126.799235,37.579932
占썬끉沅?8aa53bb,647582.78,647582.7800000000000000000000000000000,126.799214,37.582185
占썬끉沅?8aa54aa,914773.71,914773.7099999990000000000000000000000,126.799193,37.584438
占썬끉沅?8aa54ab,302571.10,302571.0999999990000000000000000000000,126.799171,37.586691
占썬끉沅?8aa54ba,224867.27,224867.2699999990000000000000000000000,126.799150,37.588945
占썬끉沅?8aa54bb,68500.02,68500.0200000000000000000000000000000,126.799129,37.591198
