업소명,소재지도로명주소,소재지지번주소,address,latitude,longitude,chain
투썸플레이스 개화산역점,서울특별시 강서구 양천로 28,서울특별시 강서구 방화동 849-0 벽산에어트리움 (지상 1층) 본관동 126~127호,서울특별시 강서구 방화동 849-0,126.806951865442,37.572356455995,투썸플레이스
투썸플레이스 까치산역점,서울특별시 강서구 강서로 43,"서울특별시 강서구 화곡동 343-52 도양라비앙타워 1층, 지하1층 ",서울특별시 강서구 화곡동 343-52,126.846538170813,37.5316222588337,투썸플레이스
투썸플레이스(신방화역점),서울특별시 강서구 방화대로 294,"서울특별시 강서구 마곡동 739-1 마곡더블유타워 (지상 1~2층) 118~9, 210호 ",서울특별시 강서구 마곡동 739-1,126.817080090346,37.5670376164659,투썸플레이스
스타벅스 양천향교역,서울특별시 강서구 강서로 463,서울특별시 강서구 마곡동 776-6 새싹타워 (지상 1층) 1~2호,서울특별시 강서구 마곡동 776-6,126.840459997021,37.5669772818718,스타벅스
스타벅스 화곡DT점,서울특별시 강서구 등촌로 57,서울특별시 강서구 화곡동 772-67 (지상1~3층) ,서울특별시 강서구 화곡동 772-67,126.86318804786,37.5350107501795,스타벅스
스타벅스 가양역점,서울특별시 강서구 양천로 476,서울특별시 강서구 등촌동 73-1 금부빌딩 (지상1층) A호,서울특별시 강서구 등촌동 73-1,126.853267521739,37.5616117077467,스타벅스
스타벅스 마곡GMG점,서울특별시 강서구 마곡중앙6로 16,서울특별시 강서구 마곡동 773-2 마곡지엠지타워 (지상 1층) 117일부~120호 ,서울특별시 강서구 마곡동 773-2,126.829111999077,37.5604160305832,스타벅스
스타벅스 마곡나루역점,서울특별시 강서구 마곡중앙로 161-17,"서울특별시 강서구 마곡동 759-3 보타닉파크타워1, 105,203,204호 ",서울특별시 강서구 마곡동 759-3,126.8259696813,37.5680411582871,스타벅스
스타벅스 방화DT,서울특별시 강서구 방화대로 375,서울특별시 강서구 방화동 293-4 외 2필지 세움빌딩 (지상 2~3층) ,서울특별시 강서구 방화동 293-4,126.816318581652,37.5744889167589,스타벅스
더벤티 NC강서점,서울특별시 강서구 강서로56길 17,서울특별시 강서구 등촌동 689 엔씨백화점 (지하 1층) ,서울특별시 강서구 등촌동 689,126.840349890548,37.5599628829761,더벤티
투썸플레이스 마곡점,서울특별시 강서구 마곡중앙6로 40,서울특별시 강서구 마곡동 774-8 장흥빌딩 ,서울특별시 강서구 마곡동 774-8,126.831552319998,37.5601509505688,투썸플레이스
더벤티 롯데마트김포공항점,서울특별시 강서구 하늘길 38,"서울특별시 강서구 방화동 886 김포공항, 롯데몰, 스카이시티 (지하 2층) ",서울특별시 강서구 방화동 886,126.802991808588,37.5650596091039,더벤티
투썸플레이스 강서구청점,서울특별시 강서구 화곡로 347,"서울특별시 강서구 화곡동 1095-0 그랜드아이파크 (지상 1~2층) 115~116, 2호",서울특별시 강서구 화곡동 1095-0,126.851250232655,37.5548546834697,투썸플레이스
스타벅스 우장산역점,서울특별시 강서구 강서로 267,서울특별시 강서구 내발산동 719-6 송화쇼핑센터 (지상 1층) 014~017호,서울특별시 강서구 내발산동 719-6,126.83592116381,37.5495832749716,스타벅스
스타벅스 마곡사이언스타워R점,서울특별시 강서구 마곡동로 62,서울특별시 강서구 마곡동 796-3 마곡사이언스타워 (지상 1~2층) ,서울특별시 강서구 마곡동 796-3,126.833955343472,37.5605687225552,스타벅스
투썸플레이스 마곡나루역점,서울특별시 강서구 마곡중앙5로 6,서울특별시 강서구 마곡동 760-0 마곡나루역보타닉푸르지오시티 (지상 1~2층) 157~240호,서울특별시 강서구 마곡동 760-0,126.826992736525,37.5672479846037,투썸플레이스
CGV등촌 투썸플레이스,서울특별시 강서구 공항대로45길 63,서울특별시 강서구 등촌동 639-23 (지상3층) ,서울특별시 강서구 등촌동 639-23,126.856046227411,37.5578675246315,투썸플레이스
더벤티 마곡나루역점,서울특별시 강서구 마곡중앙로 161-11,서울특별시 강서구 마곡동 760-1 힐스테이트에코마곡나루역라마다앙코르서울(지상 1층) A동 110호,서울특별시 강서구 마곡동 760-1,126.826732160088,37.5679366832222,더벤티
스타벅스 발산역사거리점,서울특별시 강서구 공항대로 248,"서울특별시 강서구 마곡동 801-2 1~2층 104,105,106,107,203,204호 ",서울특별시 강서구 마곡동 801-2,126.83491411299,37.5584081270031,스타벅스
더벤티 까치산역점,서울특별시 강서구 강서로 52,서울특별시 강서구 화곡동 341-65 화곡판타지아(지상 1층) 108호,서울특별시 강서구 화곡동 341-65,126.846694231039,37.5324851693898,더벤티
더벤티 마곡역점,서울특별시 강서구 마곡서로 56,서울특별시 강서구 마곡동 798-4 (지상 1층) 104호,서울특별시 강서구 마곡동 798-4,126.823925309233,37.5590025856377,더벤티
스타벅스 마곡역점,서울특별시 강서구 공항대로 168,서울특별시 강서구 마곡동 798-3 1층 101~104호 ,서울특별시 강서구 마곡동 798-3,126.82617926012,37.5592465814627,스타벅스
더벤티양천향교역점,서울특별시 강서구 마곡동로10길 23,서울특별시 강서구 마곡동 776 마곡파크뷰대방디엠시티오피스텔(지상 1층) 133호,서울특별시 강서구 마곡동 776,126.839375312516,37.5686012057916,더벤티
엔제리너스 롯데몰김포영풍문고점,서울특별시 강서구 하늘길 38,"서울특별시 강서구 방화동 886 김포공항, 롯데몰, 스카이시티, GF층 ",서울특별시 강서구 방화동 886,126.802991808588,37.5650596091039,엔제리너스
더벤티,서울특별시 강서구 강서로45길 9,서울특별시 강서구 화곡동 1006 1층 ,서울특별시 강서구 화곡동 1006,126.835663828819,37.5477788493755,더벤티
투썸플레이스등촌로점,서울특별시 강서구 등촌로 177,"서울특별시 강서구 등촌동 719 경남파크빌(지상 1~2층), 101~201호 ",서울특별시 강서구 등촌동 719,126.862059380121,37.5457985430564,투썸플레이스
투썸플레이스 마곡역점,서울특별시 강서구 마곡중앙로 59-9,"서울특별시 강서구 마곡동 798-9 (지상 1~2층) 101~102,201~204호 ",서울특별시 강서구 마곡동 798-9,126.825618624661,37.5588352609761,투썸플레이스
투썸플레이스 화곡역점,서울특별시 강서구 강서로 163,서울특별시 강서구 화곡동 1075-3 콤마빌딩 1~2층 ,서울특별시 강서구 화곡동 1075-3,126.840346710477,37.5412398807833,투썸플레이스
