values,address,area(m2),latitude,longitude
공동주택,서울특별시 강서구 허준로 ,0.0,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,0.0,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 139,0.0,37.5644495,126.8553523
공동주택,서울특별시 강서구 허준로 139,0.0,37.5644495,126.8553523
공동주택,서울특별시 강서구 허준로 ,0.0,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 139,0.0,37.5644495,126.8553523
공동주택,서울특별시 강서구 허준로 139,0.0,37.5644495,126.8553523
공동주택,서울특별시 강서구 허준로 ,0.0,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,0.0,37.5652368,126.8535763
공동주택,서울특별시 강서구 양천로57길 37,853.6,37.56420775,126.851941184125
공동주택,서울특별시 강서구 양천로57길 ,872.03,37.5638076,126.8525348
공동주택,서울특별시 강서구 양천로57길 ,994.89,37.5638076,126.8525348
공동주택,서울특별시 강서구 양천로57길 ,940.35,37.5638076,126.8525348
공동주택,서울특별시 강서구 양천로57길 ,1037.14,37.5638076,126.8525348
공동주택,서울특별시 강서구 양천로57길 ,924.6,37.5638076,126.8525348
공동주택,서울특별시 강서구 양천로57길 ,803.45,37.5638076,126.8525348
공동주택,서울특별시 강서구 양천로57길 ,872.03,37.5638076,126.8525348
공동주택,서울특별시 강서구 양천로57길 ,872.03,37.5638076,126.8525348
공동주택,서울특별시 강서구 양천로57길 ,943.08,37.5638076,126.8525348
공동주택,서울특별시 강서구  ,21.42,37.5509,126.8497
공동주택,서울특별시 강서구  ,21.42,37.5509,126.8497
공동주택,서울특별시 강서구  ,21.42,37.5509,126.8497
공동주택,서울특별시 강서구  ,21.42,37.5509,126.8497
공동주택,서울특별시 강서구  ,21.42,37.5509,126.8497
공동주택,서울특별시 강서구 양천로57길 37,336.66,37.56420775,126.851941184125
공동주택,서울특별시 강서구  ,21.42,37.5509,126.8497
공동주택,서울특별시 강서구 양천로57길 37,45927.0,37.56420775,126.851941184125
공동주택,서울특별시 강서구 양천로57길 37,1179.3,37.56420775,126.851941184125
공동주택,서울특별시 강서구 양천로57길 10-10,902.2,37.5638076,126.8525348
공동주택,서울특별시 강서구 양천로57길 ,461.97,37.5638076,126.8525348
공동주택,서울특별시 강서구 양천로57길 ,459.27,37.5638076,126.8525348
공동주택,서울특별시 강서구 양천로57길 ,459.27,37.5638076,126.8525348
공동주택,서울특별시 강서구 양천로57길 ,371.69,37.5638076,126.8525348
공동주택,서울특별시 강서구 양천로57길 ,611.54,37.5638076,126.8525348
공동주택,서울특별시 강서구 양천로57길 ,459.27,37.5638076,126.8525348
공동주택,서울특별시 강서구 양천로57길 ,662.59,37.5638076,126.8525348
공동주택,서울특별시 강서구 양천로57길 ,442.96,37.5638076,126.8525348
공동주택,서울특별시 강서구 양천로57길 36,539.88,37.56263495,126.85496210323412
공동주택,서울특별시 강서구 양천로57길 36,505.0,37.56263495,126.85496210323412
공동주택,서울특별시 강서구 양천로57길 ,404.54,37.5638076,126.8525348
공동주택,서울특별시 강서구 양천로57길 ,371.69,37.5638076,126.8525348
공동주택,서울특별시 강서구 양천로57길 ,461.97,37.5638076,126.8525348
공동주택,서울특별시 강서구 양천로57길 ,525.06,37.5638076,126.8525348
공동주택,서울특별시 강서구 양천로57길 ,371.69,37.5638076,126.8525348
공동주택,서울특별시 강서구 양천로57길 ,398.38,37.5638076,126.8525348
공동주택,서울특별시 강서구 양천로57길 ,404.54,37.5638076,126.8525348
공동주택,서울특별시 강서구 양천로57길 ,651.82,37.5638076,126.8525348
공동주택,서울특별시 강서구  ,21.42,37.5509,126.8497
공동주택,서울특별시 강서구 허준로 ,1678.71,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,1750.77,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,1832.25,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,1678.71,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,2101.05,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,358.84,37.5652368,126.8535763
공동주택,서울특별시 강서구  ,21.42,37.5509,126.8497
공동주택,서울특별시 강서구 허준로 ,1678.71,37.5652368,126.8535763
공동주택,서울특별시 강서구  ,21.42,37.5509,126.8497
공동주택,서울특별시 강서구 허준로 ,1374.13,37.5652368,126.8535763
공동주택,서울특별시 강서구  ,21.42,37.5509,126.8497
공동주택,서울특별시 강서구 허준로 ,1714.17,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,1669.71,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,2136.74,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,2062.08,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,2062.08,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,2080.08,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,2136.74,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,2170.13,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,2353.4,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,2136.74,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,2059.14,37.5652368,126.8535763
