"동별(1)",동별(2),2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"합계",중랑구,18644,127195,572,12121,18072,115074,516,7464,1,63,515,7401,96,6193,2,417,54,4240,40,1536,18032,113538,6193,13772,2956,67093,8883,32673,12381,133615,562,11119,11819,122496,523,6866,1,62,522,6804,67,5538,3,983,36,3270,28,1285,11791,121211,5944,15289,3095,74057,2752,31865,12438,134695,579,10933,11859,123762,539,6436,1,62,538,6374,77,5963,3,983,37,3514,37,1466,11822,122296,5973,15332,3095,74057,2754,32907,12454,133919,570,10661,11884,123258,529,6235,-,-,529,6235,77,5823,3,983,38,3443,36,1397,11848,121861,5998,15371,3095,74057,2755,32433,13251,132884,571,11179,12680,121705,519,6106,-,-,519,6106,80,6006,3,782,49,4291,28,933,12652,120772,4164,10299,3927,80089,4561,30384
"합계",성북구,12965,155244,201,7269,12764,147975,125,5695,1,26,124,5669,164,3762,1,21,75,1553,88,2188,12676,145787,5963,14948,3011,91486,3702,39353,13014,156915,219,7283,12795,149632,129,5563,1,26,128,5537,161,4053,1,21,89,1699,71,2333,12724,147299,6160,15249,3048,93897,3516,38153,13084,156364,223,7115,12861,149249,128,5311,1,26,127,5285,163,4033,1,21,94,1783,68,2229,12793,147020,6115,15147,3140,93897,3538,37976,13190,155093,226,6862,12964,148231,125,4732,1,26,124,4706,169,4359,1,21,100,2109,68,2229,12896,146002,6136,15178,3217,94328,3543,36496,9503,155254,228,6447,9275,148807,127,4571,1,26,126,4545,149,4046,1,21,100,1855,48,2170,9227,146637,3123,8763,2942,94670,3162,43204
"합계",강북구,10830,89173,62,5416,10768,83757,23,3162,1,21,22,3141,57,2688,-,-,39,2254,18,434,10750,83323,5373,10995,3322,53042,2055,19286,10969,91187,49,5108,10920,86079,23,3018,1,21,22,2997,46,2532,-,-,26,2090,20,442,10900,85637,5448,11208,3382,55007,2070,19422,11107,92315,49,5070,11058,87245,23,2982,1,16,22,2966,49,2621,-,-,26,2088,23,533,11035,86712,5510,11357,3440,55691,2085,19664,11231,93845,49,5146,11182,88699,23,3080,1,16,22,3064,48,2580,-,-,26,2066,22,514,11160,88185,5567,11491,3499,56993,2094,19701,11645,96636,51,5286,11594,91350,23,3056,1,16,22,3040,50,2704,-,-,28,2230,22,474,11572,90876,5900,11979,3533,58673,2139,20224
"합계",도봉구,9703,112583,501,6015,9202,106568,460,3535,-,-,460,3535,61,3028,4,1111,37,1369,20,548,9182,106020,4316,10046,2894,71832,1972,24142,9660,109751,488,5432,9172,104319,443,3350,-,-,443,3350,62,2564,3,654,42,1428,17,482,9155,103837,4229,8384,2957,71440,1969,24013,9736,112865,491,5573,9245,107292,443,3200,-,-,443,3200,66,2873,3,650,45,1723,18,500,9227,106792,4263,9895,3012,72447,1952,24450,9720,111916,475,5468,9245,106448,421,2983,-,-,421,2983,73,3000,3,594,51,1891,19,515,9226,105933,4206,8439,3070,72750,1950,24744,9868,110933,465,5258,9403,105675,412,2897,-,-,412,2897,75,2901,3,599,50,1762,22,540,9381,105135,4240,7927,3213,73753,1928,23455
"합계",노원구,6630,175831,181,3992,6449,171839,146,2292,2,123,144,2169,51,2676,4,404,31,1296,16,976,6433,170863,2412,7640,1696,121503,2325,41720,6855,176629,187,3986,6668,172643,143,2286,2,111,141,2175,60,2275,4,403,40,1297,16,575,6652,172068,2517,7074,1717,119458,2418,45536,6780,183172,188,3561,6592,179611,141,2188,1,23,140,2165,64,1956,3,273,44,1100,17,583,6575,179028,2531,11034,1717,122450,2327,45544,6807,183901,194,4093,6613,179808,144,2129,1,23,143,2106,67,2547,3,263,47,1701,17,583,6596,179225,2544,11163,1718,122466,2334,45596,6024,178194,178,3662,5846,174532,138,2001,1,23,137,1978,52,2058,2,95,38,1566,12,397,5834,174135,1941,6683,1842,128465,2051,38987
"합계",은평구,17662,159015,133,5953,17529,153062,108,3900,1,14,107,3886,73,3247,1,401,24,1652,48,1194,17481,151868,6439,13002,7867,107423,3175,31443,18790,146696,134,5721,18656,140975,109,3670,1,14,108,3656,54,2858,1,399,24,1652,29,807,18627,140168,7761,13556,7519,100962,3347,25650,18901,164010,137,5238,18764,158772,108,3149,1,14,107,3135,57,2809,1,399,28,1690,28,720,18736,158052,8189,18235,7605,106545,2942,33272,19032,166662,139,5165,18893,161497,111,2956,1,14,110,2942,57,2942,1,399,27,1810,29,733,18864,160764,8231,18324,7676,108659,2957,33781,18263,176603,141,5160,18122,171443,111,2856,1,14,110,2842,68,3062,1,399,29,1905,38,758,18084,170685,6744,12568,7733,114433,3607,43684
"합계",서대문구,11678,115993,692,6033,10986,109960,603,4275,2,18,601,4257,156,4016,1,27,88,1731,67,2258,10919,107702,5170,13076,3166,51829,2583,42797,11382,112259,661,5946,10721,106313,568,4237,2,18,566,4219,153,2045,1,27,92,1682,60,336,10661,105977,4690,13143,3015,60277,2956,32557,11461,120717,632,5372,10829,115345,602,4101,2,18,600,4083,46,1607,1,27,29,1244,16,336,10813,115009,5079,11954,3040,55819,2694,47236,11519,125844,678,6051,10841,119793,577,4135,1,7,576,4128,120,2324,1,27,100,1889,19,408,10822,119385,5086,11998,3042,59734,2694,47653,10496,132942,755,5899,9741,127043,671,4236,1,7,670,4229,105,2045,1,27,83,1636,21,382,9720,126661,4986,11998,2600,67010,2134,47653
"합계",마포구,14146,179349,47,6901,14099,172448,29,4657,-,-,29,4657,87,4742,2,528,16,1716,69,2498,14030,169950,5525,13992,3508,83246,4997,72712,13066,186203,48,7139,13018,179064,29,4475,-,-,29,4475,51,4119,2,525,17,2139,32,1455,12986,177609,4863,13451,3552,90141,4571,74017,13158,182255,47,6692,13111,175563,27,4244,-,-,27,4244,53,3903,2,525,18,1923,33,1455,13078,174108,4869,13403,3603,85056,4606,75649,13297,182861,51,6941,13246,175920,29,4332,-,-,29,4332,56,4071,2,525,20,2084,34,1462,13212,174458,4854,13344,3697,85747,4661,75367,13162,199423,51,6828,13111,192595,29,4237,-,-,29,4237,62,4084,2,523,20,2068,40,1493,13071,191102,4141,11422,3975,97000,4955,82680
"합계",양천구,11870,162040,538,7125,11332,154915,490,2977,1,31,489,2946,60,5664,3,177,45,3971,12,1516,11320,153399,4339,8504,4242,103704,2739,41191,11694,162797,517,7206,11177,155591,469,2908,-,-,469,2908,58,4945,3,183,45,4115,10,647,11167,154944,3777,9224,4050,101371,3340,44349,11677,170748,500,7647,11177,163101,460,3172,-,-,460,3172,50,5122,3,183,37,4292,10,647,11167,162454,4083,11405,4431,107255,2653,43794,11677,168382,491,7149,11186,161233,449,2820,-,-,449,2820,51,4918,4,236,38,4093,9,589,11177,160644,4093,11426,4430,104213,2654,45005,11017,166327,498,7454,10519,158873,442,2762,-,-,442,2762,65,5281,4,228,52,4464,9,589,10510,158284,3238,7373,4407,114151,2865,36760
"합계",강서구,17604,260730,689,8599,16915,252131,659,4940,2,148,657,4792,54,5069,10,1343,20,2316,24,1410,16891,250721,5737,12836,6985,141048,4169,96837,18962,262157,673,8545,18289,253612,641,4858,2,144,639,4714,56,5097,10,1342,22,2345,24,1410,18265,252202,7042,14887,7032,141073,4191,96242,18858,297275,657,9195,18201,288080,625,4747,2,144,623,4603,56,5606,10,1341,22,3107,24,1158,18177,286922,7058,16939,6998,147412,4121,122571,18908,288042,662,8905,18246,279137,630,4446,1,59,629,4387,56,5541,10,1341,22,3118,24,1082,18222,278055,7081,17021,7028,147564,4113,113470,17639,315812,665,8895,16974,306917,631,4390,1,59,630,4331,59,5606,10,1340,24,3165,25,1101,16949,305816,4747,12572,7401,151155,4801,142089
"합계",구로구,10466,178806,361,5586,10105,173220,335,3601,8,214,327,3387,59,2841,3,516,23,1469,33,856,10072,172364,4986,9663,2641,94610,2445,68091,10632,183896,344,5343,10288,178553,318,3056,5,144,313,2912,60,3151,3,514,23,1773,34,864,10254,177689,5026,10000,2658,94956,2570,72733,10643,188343,344,4925,10299,183418,317,2943,5,144,312,2799,58,2815,3,514,24,1468,31,833,10268,182585,5106,13757,2680,96539,2482,72289,10681,190319,333,5259,10348,185060,300,2842,5,151,295,2691,64,3250,3,514,30,1903,31,833,10317,184227,5129,13738,2680,96539,2508,73950,9692,191823,277,5149,9415,186674,243,2663,5,149,238,2514,70,3470,4,583,30,1903,36,984,9379,185690,3631,7473,2707,104569,3041,73648
"합계",금천구,8377,119994,69,4192,8308,115802,32,2651,2,61,30,2590,48,1870,1,129,36,1412,11,329,8297,115473,3576,7306,2203,40345,2518,67822,9149,129455,68,4018,9081,125437,31,2449,2,61,29,2388,49,1909,1,128,36,1441,12,340,9069,125097,4394,10572,2109,36712,2566,77813,9152,131017,51,3873,9101,127144,26,2356,2,61,24,2295,39,1875,1,128,24,1389,14,358,9087,126786,4365,10537,2166,37470,2556,78779,9481,133132,71,3779,9410,129353,21,2023,2,59,19,1964,63,2094,1,128,49,1628,13,338,9397,129015,4641,10914,2192,37813,2564,80288,9209,139148,69,3715,9140,135433,19,2006,2,58,17,1948,63,2047,1,128,49,1581,13,338,9127,135095,4121,8827,2684,53485,2322,72783
"합계",영등포구,10082,170574,2134,9404,7948,161170,2102,5766,8,206,2094,5560,65,5770,3,946,29,2692,33,2132,7915,159038,4871,9985,1299,73219,1745,75834,10907,184322,2183,9559,8724,174763,2149,5822,8,205,2141,5617,65,5694,3,945,31,2792,31,1957,8693,172806,5343,16114,1402,72053,1948,84639,10907,184321,2183,9558,8724,174763,2149,5822,8,205,2141,5617,65,5693,3,944,31,2792,31,1957,8693,172806,5343,16114,1402,72053,1948,84639,10855,183911,1986,9145,8869,174766,1954,5444,8,185,1946,5259,60,5414,3,944,29,2757,28,1713,8841,173053,5492,16364,1401,72050,1948,84639,10105,203359,1987,9481,8118,193878,1954,5386,9,233,1945,5153,52,4911,3,943,30,3152,19,816,8099,193062,3880,8672,1555,80793,2664,103597
"합계",동작구,11879,128893,132,3810,11747,125083,95,2747,1,24,94,2723,47,1667,1,78,36,985,10,604,11737,124479,5641,12618,3640,81289,2456,30572,8306,134083,120,3668,8186,130415,86,2664,1,25,85,2639,65,1967,1,65,33,939,31,963,8155,129452,3656,8513,2952,93772,1547,27167,8501,136072,114,3563,8387,132509,82,2577,1,25,81,2552,63,1949,1,65,31,921,31,963,8356,131546,3749,8731,3006,94930,1601,27885,8672,139766,115,3472,8557,136294,80,2495,-,-,80,2495,65,1957,1,64,34,913,30,980,8527,135314,3837,8999,3055,98522,1635,27793,8769,137661,117,3336,8652,134325,81,2337,-,-,81,2337,67,1905,1,64,35,935,31,906,8621,133419,3894,9089,3080,97380,1647,26950
"합계",관악구,20271,151070,64,7374,20207,143696,29,5618,1,67,28,5551,86,2835,2,93,33,1663,51,1079,20156,142617,10527,22888,4573,78735,5056,40994,20442,152131,65,7516,20377,144615,30,5548,1,62,29,5486,86,3047,2,93,33,1875,51,1079,20326,143536,10682,23376,4595,78974,5049,41186,20871,153117,45,7255,20826,145862,29,5641,1,62,28,5579,67,2267,2,91,14,1523,51,653,20775,145209,11083,24089,4646,79711,5046,41409,20377,153306,45,7349,20332,145957,29,5746,1,62,28,5684,40,2271,2,91,14,1512,24,668,20308,145289,10567,23619,4687,80074,5054,41596,20446,153960,59,6970,20387,146990,30,5292,1,62,29,5230,53,2346,2,91,27,1587,24,668,20363,146322,10602,23874,4697,80247,5064,42201
"합계",서초구,12820,277211,864,8519,11956,268692,835,5946,1,50,834,5896,92,8030,1,185,28,2388,63,5457,11893,263235,3333,11886,2958,137433,5602,113916,12390,261294,814,7396,11576,253898,768,4898,1,50,767,4848,81,4428,1,184,45,2314,35,1930,11541,251968,3548,12601,2741,124676,5252,114691,12388,262735,785,7396,11603,255339,733,4811,1,50,732,4761,87,4515,1,184,51,2401,35,1930,11568,253409,3562,12635,2742,124676,5264,116098,12427,264800,785,7396,11642,257404,733,4811,1,50,732,4761,110,8104,1,184,51,2401,58,5519,11584,251885,3573,12649,2742,122767,5269,116469,14690,310949,769,7292,13921,303657,719,4556,1,47,718,4509,111,8444,1,183,49,2553,61,5708,13860,297949,3236,11798,2907,123559,7717,162592
"합계",강남구,20354,390191,107,14824,20247,375367,73,9284,4,94,69,9190,119,8516,5,934,29,4606,85,2976,20162,372391,6528,24316,3909,149350,9725,198725,19829,395951,103,13856,19726,382095,64,7906,4,95,60,7811,137,9398,6,949,33,5001,98,3448,19628,378647,6410,38123,3720,133861,9498,206663,19861,398603,109,14376,19752,384227,76,8976,4,95,72,8881,150,9938,6,928,27,4472,117,4538,19635,379689,6423,39101,3710,133303,9502,207285,20142,402283,106,13824,20036,388459,75,8550,4,95,71,8455,159,10629,5,930,26,4344,128,5355,19908,383104,6451,39186,3793,134102,9664,209816,20566,413898,160,13087,20406,400811,126,8242,4,95,122,8147,141,8283,5,918,29,3927,107,3438,20299,397373,5863,22107,4397,176570,10039,198696
"합계",송파구,17200,305199,651,20439,16549,284760,494,14122,1,28,493,14094,181,7270,3,946,154,5371,24,953,16525,283807,4009,12349,7726,170825,4790,100633,22650,351025,685,19309,21965,331716,451,13441,1,28,450,13413,259,6832,3,941,231,4927,25,964,21940,330752,8225,15527,8007,170586,5708,144639,22671,321938,640,18777,22031,303161,455,12685,1,28,454,12657,211,7096,3,941,182,5151,26,1004,22005,302157,4907,14215,7250,164400,9848,123542,22462,353631,547,17972,21915,335659,455,12473,1,28,454,12445,120,6643,3,941,89,4558,28,1144,21887,334515,8150,15400,8058,184670,5679,134445,22745,339227,547,16802,22198,322425,488,12253,1,28,487,12225,87,5693,3,911,56,3638,28,1144,22170,321281,7606,19788,8579,195897,5985,105596
"합계",강동구,12579,167853,35,11775,12544,156078,21,8540,-,-,21,8540,36,4023,2,1447,12,1788,22,788,12522,155290,5638,15204,3702,96671,3182,43415,19994,193311,45,11395,19949,181916,21,8163,-,-,21,8163,36,3621,2,1447,22,1785,12,389,19937,181527,7516,15920,3688,97284,8733,68323,19684,203140,37,10673,19647,192467,22,7765,-,-,22,7765,27,3297,2,1443,13,1465,12,389,19635,192078,7240,15966,3782,107737,8613,68375,16798,188133,38,10047,16760,178086,22,7126,-,-,22,7126,29,3320,2,1441,14,1480,13,399,16747,177687,7023,15954,3901,124679,5823,37054,15517,209959,39,10000,15478,199959,22,6980,-,-,22,6980,29,3407,3,1538,14,1482,12,387,15466,199572,7039,16011,3901,130687,4526,52874
