,상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
239501,16586437,카페아에,마곡점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150060300,가양1동,1150010500,마곡동,1150010500107730001,1,대지,773,1.0,서울특별시 강서구 마곡동 773-1,115003155054,서울특별시 강서구 마곡중앙6로,10,,1150010500107271084000001,마곡역센트럴푸르지오시티,서울특별시 강서구 마곡중앙6로 10,157805,7801.0,,14,,126.82819498204,37.5603750422223
239508,16584886,밀로,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150062000,공항동,1150010800,공항동,1150010800113500002,1,대지,1350,2.0,서울특별시 강서구 공항동 1350-2,115004145356,서울특별시 강서구 방화대로6라길,21,,1150010800113500002007007,,서울특별시 강서구 방화대로6라길 21,157816,7645.0,,,,126.818224642546,37.555995765735
240367,16639360,맘스카페,롯데몰김포공항점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150064000,방화2동,1150010900,방화동,1150010900108860000,1,대지,886,,서울특별시 강서구 방화동 886,115004145490,서울특별시 강서구 하늘길,38,,1150010900106860001003098,"김포공항,롯데몰,스카이시티",서울특별시 강서구 하늘길 38,157222,7505.0,,1,,126.802937461062,37.5713574580352
240522,20478868,더카페가양홈플러스점,가양홈플러스점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150060400,가양2동,1150010400,가양동,1150010400100180024,1,대지,18,24.0,서울특별시 강서구 가양동 18-24,115003115008,서울특별시 강서구 양천로,431,,1150010400100180024009682,홈플러스가양점,서울특별시 강서구 양천로 431,157200,7527.0,,2,,126.84994610305,37.5642561332798
241375,17162462,홀론카페,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150052000,등촌1동,1150010200,등촌동,1150010200106370000,1,대지,637,,서울특별시 강서구 등촌동 637,115004145550,서울특별시 강서구 화곡로68길,102,,1150010200106370006029600,서울시니어스가양타워,서울특별시 강서구 화곡로68길 102,157839,7550.0,,1,,126.859303858488,37.5570395440271
241378,17158181,카페,등촌동,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150052000,등촌1동,1150010200,등촌동,1150010200106330017,1,대지,633,17.0,서울특별시 강서구 등촌동 633-17,115004145420,서울특별시 강서구 양천로66길,21,,1150010200106330017029530,등촌투웨니퍼스트2차,서울특별시 강서구 양천로66길 21,157839,7553.0,,1,,126.865154933613,37.5540774656823
242011,16628130,꿀카롱,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150060300,가양1동,1150010500,마곡동,1150010500107740004,1,대지,774,4.0,서울특별시 강서구 마곡동 774-4,115002005007,서울특별시 강서구 공항대로,227,,1150010500107740004000001,마곡센트럴타워Ⅰ,서울특별시 강서구 공항대로 227,157805,7802.0,,2,,126.832666716643,37.5595903938631
242297,16640555,홍콩다방,마곡점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150060300,가양1동,1150010500,마곡동,1150010500107960005,1,대지,796,5.0,서울특별시 강서구 마곡동 796-5,115003155054,서울특별시 강서구 마곡중앙6로,63,,1150010500107960005000001,마곡테크노타워,서울특별시 강서구 마곡중앙6로 63,157805,7803.0,,1,,126.834373654174,37.5604542285534
242589,16634956,샌디350,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150054000,화곡1동,1150010300,화곡동,1150010300103510024,1,대지,351,24.0,서울특별시 강서구 화곡동 351-24,115004145023,서울특별시 강서구 강서로17나길,50,,1150010300103510024013758,푸른풍경채,서울특별시 강서구 강서로17나길 50,157882,7764.0,,,,126.842897214728,37.5347865323311
243867,16565163,MEISTERCOFFEE,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150061100,발산1동,1150010500,마곡동,1150010500108000004,1,대지,800,4.0,서울특별시 강서구 마곡동 800-4,115002005007,서울특별시 강서구 공항대로,222,,1150010500108000004000001,발산W타워,서울특별시 강서구 공항대로 222,157210,7806.0,,12,,126.832160634683,37.5586573266931
