,상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
196,23260840,버블베어,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150064100,방화3동,1150010900,방화동,1150010900108190000,1,대지,819,,서울특별시 강서구 방화동 819,115003115002,서울특별시 강서구 금낭화로,167,,1150010900108190000000160,방화8단지개화아파트,서울특별시 강서구 금낭화로 167,157788,7509.0,,1,,126.813358391338,37.5809414781492
900,23739181,홈플러스어라운드홈,강서점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150052000,등촌1동,1150010200,등촌동,1150010200106390011,1,대지,639,11.0,서울특별시 강서구 등촌동 639-11,115003005069,서울특별시 강서구 화곡로,398,,1150010200106390011027411,삼성홈플러스강서점,서울특별시 강서구 화곡로 398,157030,7567.0,,1,,126.854800245129,37.5584556189768
1440,20604027,소풍가는날,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150051000,염창동,1150010100,염창동,1150010100102670019,1,대지,267,19.0,서울특별시 강서구 염창동 267-19,115004145208,서울특별시 강서구 공항대로59다길,85,,1150010100102670019028102,대진빌딩,서울특별시 강서구 공항대로59다길 85,157863,7554.0,,1,,126.867994948895,37.551879173173
1653,26329404,오가다,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150062000,공항동,1150010800,공항동,1150010800113700000,1,대지,1370,,서울특별시 강서구 공항동 1370,115004145490,서울특별시 강서구 하늘길,260,,1150010700104230000009205,대한항공,서울특별시 강서구 하늘길 260,157712,7505.0,,2,,126.81426973535,37.5477387116096
2173,25343842,카페티라수,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150051000,염창동,1150010100,염창동,1150010100102580001,1,대지,258,1.0,서울특별시 강서구 염창동 258-1,115003115008,서울특별시 강서구 양천로,731,,1150010100102580001028179,동아3차아파트,서울특별시 강서구 양천로 731,157862,7539.0,,1,,126.877378933564,37.5502387818799
3500,23194541,커피볶는집와플에숍,와플에숍,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150059300,화곡8동,1150010300,화곡동,1150010300103410046,1,대지,341,46.0,서울특별시 강서구 화곡동 341-46,115004145020,서울특별시 강서구 강서로16길,20,,1150010300103410046011845,진안독서실,서울특별시 강서구 강서로16길 20,157010,7757.0,,1,,126.847352054858,37.5327847482741
4224,28515341,애프터커피숍,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150054000,화곡1동,1150010300,화곡동,1150010300103770010,1,대지,377,10.0,서울특별시 강서구 화곡동 377-10,115003000009,서울특별시 강서구 가로공원로,183,,1150010300103770013014363,성심치과의원,서울특별시 강서구 가로공원로 183,157010,7718.0,,1,,126.836250847924,37.5372711476872
4463,23248481,알랑가,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150061500,우장산동,1150010600,내발산동,1150010600106770001,1,대지,677,1.0,서울특별시 강서구 내발산동 677-1,115003115001,서울특별시 강서구 강서로,318,8.0,1150010600106770001008084,두리빌딩,서울특별시 강서구 강서로 318-8,157280,7680.0,,1,,126.837437758515,37.5541051360342
4507,25845544,바빈스커피,등촌점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150051000,염창동,1150010100,염창동,1150010100102720009,1,대지,272,9.0,서울특별시 강서구 염창동 272-9,115002005007,서울특별시 강서구 공항대로,549,,1150010100102720009027862,,서울특별시 강서구 공항대로 549,157863,7561.0,,,,126.867058351273,37.5502032744875
4721,25751001,카카오독애견카페,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150057000,화곡4동,1150010300,화곡동,1150010300107820011,1,대지,782,11.0,서울특별시 강서구 화곡동 782-11,115004145166,서울특별시 강서구 곰달래로60길,33,,1150010300107820011020490,,서울특별시 강서구 곰달래로60길 33,157010,7786.0,,1,,126.863267761603,37.5307855466084
6480,16128808,"커피,한송이",,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150052000,등촌1동,1150010200,등촌동,1150010200106410011,1,대지,641,11.0,서울특별시 강서구 등촌동 641-11,115004145188,서울특별시 강서구 공항대로45길,44,,1150010200106410011027151,청림오피스텔,서울특별시 강서구 공항대로45길 44,157840,7569.0,,1,,126.855787640067,37.5567982809965
6621,14974694,통툰만화까페,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150061500,우장산동,1150010600,내발산동,1150010600106520000,1,대지,652,,서울특별시 강서구 내발산동 652,115004145066,서울특별시 강서구 강서로52길,16,,1150010600106520000007954,호용빌딩,서울특별시 강서구 강서로52길 16,157824,7646.0,,2,,126.8389323951,37.5577059520794
6695,20441439,이디야커피,등촌역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150053000,등촌2동,1150010200,등촌동,1150010200105090001,1,대지,509,1.0,서울특별시 강서구 등촌동 509-1,115003005064,서울특별시 강서구 등촌로,217,,1150010200105090001025804,희망찬교회,서울특별시 강서구 등촌로 217,157030,7667.0,,1,,126.863294073943,37.5491759557566
8105,16098963,블랙벤자민,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150059100,화곡6동,1150010300,화곡동,1150010300109660017,1,대지,966,17.0,서울특별시 강서구 화곡동 966-17,115004145258,서울특별시 강서구 까치산로18길,17,,1150010300109660017015658,,서울특별시 강서구 까치산로18길 17,157913,7662.0,,1,,126.850059284254,37.5473178129428
8538,16096005,본죽,&비빔밥카페마곡나루역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150060300,가양1동,1150010500,마곡동,1150010500107570000,1,대지,757,,서울특별시 강서구 마곡동 757,115003155045,서울특별시 강서구 마곡중앙로,161,8.0,1150010500107570000000001,두산더랜드파크,서울특별시 강서구 마곡중앙로 161-8,157805,7788.0,,1,,126.827117256079,37.5684736098021
8793,23610488,애니팡팡,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150055000,화곡2동,1150010300,화곡동,1150010300108600015,1,대지,860,15.0,서울특별시 강서구 화곡동 860-15,115003005063,서울특별시 강서구 곰달래로,195,,1150010300108600015022751,풍한빌딩,서울특별시 강서구 곰달래로 195,157010,7750.0,,4,,126.85459213682,37.5313774951652
8834,16129278,달달해,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150057000,화곡4동,1150010300,화곡동,1150010300108310009,1,대지,831,9.0,서울특별시 강서구 화곡동 831-9,115004145153,서울특별시 강서구 곰달래로51길,23,,1150010300108310009019708,,서울특별시 강서구 곰달래로51길 23,157900,7738.0,,1,,126.858134415096,37.5327993975117
9134,19902963,BM카페,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150053500,등촌3동,1150010200,등촌동,1150010200106570000,1,대지,657,,서울특별시 강서구 등촌동 657,115002005007,서울특별시 강서구 공항대로,389,,1150010200106570000000002,부민병원,서울특별시 강서구 공항대로 389,157030,7590.0,,1,,126.850886159179,37.5568497898687
9607,23264112,스타벅스,발산역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150053500,등촌3동,1150010200,등촌동,1150010200106780014,1,대지,678,14.0,서울특별시 강서구 등촌동 678-14,115003115001,서울특별시 강서구 강서로,388,,1150010200106780014025293,그랜드마트,서울특별시 강서구 강서로 388,157930,7583.0,,1,,126.839290175551,37.5601782971845
10422,16100346,커피코트,우림블루나인점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150051000,염창동,1150010100,염창동,1150010100102400021,1,대지,240,21.0,서울특별시 강서구 염창동 240-21,115003115008,서울특별시 강서구 양천로,583,,1150010100102400021028397,우림블루나인비즈니스센터,서울특별시 강서구 양천로 583,157779,7547.0,,1,,126.86432805766,37.5571060005552
10484,16115884,샤론,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150063000,방화1동,1150010900,방화동,1150010900102490000,1,대지,249,,서울특별시 강서구 방화동 249,115004145368,서울특별시 강서구 방화동로14길,13,,1150010900102490000003977,,서울특별시 강서구 방화동로14길 13,157846,7606.0,,1,,126.813579040558,37.5691762802079
10570,16493899,마곡타로마님아카데미,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150062000,공항동,1150010500,마곡동,1150010500107980014,1,대지,798,14.0,서울특별시 강서구 마곡동 798-14,115003155049,서울특별시 강서구 마곡중앙1로,20,,1150010500107980014000001,,서울특별시 강서구 마곡중앙1로 20,157818,7807.0,,4,,126.82471481409,37.5585564075685
10677,16203419,아쿠아카페,아쿠아,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150052000,등촌1동,1150010200,등촌동,1150010200106410011,1,대지,641,11.0,서울특별시 강서구 등촌동 641-11,115004145188,서울특별시 강서구 공항대로45길,44,,1150010200106410011027151,청림오피스텔,서울특별시 강서구 공항대로45길 44,157840,7569.0,,2,,126.855787640067,37.5567982809965
10695,16120882,아이손쿠킹클래스,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150063000,방화1동,1150010500,마곡동,1150010500107390001,1,대지,739,1.0,서울특별시 강서구 마곡동 739-1,115002115001,서울특별시 강서구 방화대로,294,,1150010500107390001000001,마곡더블유타워,서울특별시 강서구 방화대로 294,157855,7599.0,,3,,126.817032279204,37.5669853952399
10919,16202150,울어비웃카페,울어비웃,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150052000,등촌1동,1150010200,등촌동,1150010200106290007,1,대지,629,7.0,서울특별시 강서구 등촌동 629-7,115004145188,서울특별시 강서구 공항대로45길,92,,1150010200106290007027308,,서울특별시 강서구 공항대로45길 92,157838,7549.0,,1,,126.857835561524,37.5583228367373
11056,25888644,카페베네등촌역점,등촌역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150053000,등촌2동,1150010200,등촌동,1150010200105070008,1,대지,507,8.0,서울특별시 강서구 등촌동 507-8,115003005064,서울특별시 강서구 등촌로,223,,1150010200105070008028911,렙쇼메이빌딩,서울특별시 강서구 등촌로 223,157030,7665.0,,1,,126.863389343839,37.5496093697867
11156,23502656,커피내음,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150057000,화곡4동,1150010300,화곡동,1150010300108370010,1,대지,837,10.0,서울특별시 강서구 화곡동 837-10,115003005063,서울특별시 강서구 곰달래로,225,,1150010300108370010020691,장치과의원,서울특별시 강서구 곰달래로 225,157010,7738.0,,1,,126.858013224251,37.5318431261082
12071,16512066,컴포즈커피,방화역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150064100,방화3동,1150010900,방화동,1150010900108290004,1,대지,829,4.0,서울특별시 강서구 방화동 829-4,115003115002,서울특별시 강서구 금낭화로,135,,1150010900108290004000546,금강프라자빌딩,서울특별시 강서구 금낭화로 135,157857,7510.0,,1,,126.812417772585,37.5774360350903
12120,25773563,점핑파크마곡점,마곡점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150063000,방화1동,1150010500,마곡동,1150010500107390003,1,대지,739,3.0,서울특별시 강서구 마곡동 739-3,115003155051,서울특별시 강서구 마곡중앙5로,81,,1150010500107310124000001,에스비타운,서울특별시 강서구 마곡중앙5로 81,157210,7599.0,,10,,126.818751290008,37.5670837012694
12174,16200558,웨스트엔드문화카페,웨스트엔드문화,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150061500,우장산동,1150010600,내발산동,1150010600101190000,1,대지,119,,서울특별시 강서구 내발산동 119,115002005007,서울특별시 강서구 공항대로,340,,1150010600101190000000094,,서울특별시 강서구 공항대로 340,157824,7647.0,,,,126.844872064513,37.5571244829597
13385,16118087,카페희다마곡점,콜럼버스,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150060300,가양1동,1150010500,마곡동,1150010500107740002,1,대지,774,2.0,서울특별시 강서구 마곡동 774-2,115002005007,서울특별시 강서구 공항대로,213,,1150010500107740005000001,랑데르2,서울특별시 강서구 공항대로 213,157805,7802.0,,2,,126.83050683852,37.5601907291958
13866,16220111,후니커피,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150054000,화곡1동,1150010300,화곡동,1150010300103590086,1,대지,359,86.0,서울특별시 강서구 화곡동 359-86,115004145005,서울특별시 강서구 가로공원로76길,106,,1150010300103590086024949,,서울특별시 강서구 가로공원로76길 106,157883,7766.0,,2,,126.8389491448,37.5325492534285
14198,16219933,스타벅스,마곡사이언스타워R점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150060300,가양1동,1150010500,마곡동,1150010500107960003,1,대지,796,3.0,서울특별시 강서구 마곡동 796-3,115003155046,서울특별시 강서구 마곡동로,62,,1150010500107960003000001,마곡사이언스타워,서울특별시 강서구 마곡동로 62,157805,7803.0,,7,,126.833874311591,37.5605394004382
14256,23378385,띠아모커피강서구청사거리점,강서구청사거리점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150052000,등촌1동,1150010200,등촌동,1150010200106560052,1,대지,656,52.0,서울특별시 강서구 등촌동 656-52,115004145187,서울특별시 강서구 공항대로45가길,11,,1150010200106560052029580,강서메트로칸,서울특별시 강서구 공항대로45가길 11,157030,7572.0,,1,,126.853659898757,37.5560568140191
14298,16514565,컵투,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150060500,가양3동,1150010400,가양동,1150010400104490021,1,대지,449,21.0,서울특별시 강서구 가양동 449-21,115003115008,서울특별시 강서구 양천로,551,24.0,1150010400104490021000001,한화비즈메트로2차,서울특별시 강서구 양천로 551-24,157804,7532.0,,,,126.861935938218,37.5588580025072
15011,25858784,7080라이브이락,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150053500,등촌3동,1150010200,등촌동,1150010200106670006,1,대지,667,6.0,서울특별시 강서구 등촌동 667-6,115004145069,서울특별시 강서구 강서로56길,106,,1150010200106670006025239,화운빌딩,서울특별시 강서구 강서로56길 106,157030,7591.0,,5,,126.844641662099,37.5588522105952
15906,12150619,카페세라,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150061500,우장산동,1150010600,내발산동,1150010600107060013,1,대지,706,13.0,서울특별시 강서구 내발산동 706-13,115004145437,서울특별시 강서구 우장산로4길,83,,1150010600107060013008217,,서울특별시 강서구 우장산로4길 83,157832,7692.0,,1,,126.838472434366,37.550880612474
15948,20655411,카페더로스팅,더로스팅,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150053000,등촌2동,1150010200,등촌동,1150010200105140050,1,대지,514,50.0,서울특별시 강서구 등촌동 514-50,115004145300,서울특별시 강서구 등촌로39길,17,7.0,1150010200105140050025895,,서울특별시 강서구 등촌로39길 17-7,157030,7668.0,,1,,126.861213755887,37.5453265095622
16197,27825515,MEISTERCOFFEE,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150060300,가양1동,1150010500,마곡동,1150010500107220000,1,대지,722,,서울특별시 강서구 마곡동 722,115003115001,서울특별시 강서구 강서로,381,7.0,1150010400114440000010546,정원빌딩,서울특별시 강서구 강서로 381-7,157210,7803.0,,2,,126.837907869531,37.5595429870012
17038,23369079,스타벅스,등촌점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150053500,등촌3동,1150010200,등촌동,1150010200106680009,1,대지,668,9.0,서울특별시 강서구 등촌동 668-9,115002005007,서울특별시 강서구 공항대로,329,,1150010200106680009025255,청호프라자,서울특별시 강서구 공항대로 329,157030,7591.0,,1,,126.844334259983,37.5582364999702
18034,23874215,카페숨,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150053500,등촌3동,1150010200,등촌동,1150010200106690002,1,대지,669,2.0,서울특별시 강서구 등촌동 669-2,115004145179,서울특별시 강서구 공항대로39길,7,,1150010200106690002025361,청해물산,서울특별시 강서구 공항대로39길 7,157030,7591.0,,1,,126.843276116596,37.5585955605466
18372,12111464,장수커피,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150053000,등촌2동,1150010200,등촌동,1150010200105060025,1,대지,506,25.0,서울특별시 강서구 등촌동 506-25,115004145317,서울특별시 강서구 등촌로55길,18,,1150010200105060025026477,거산파크빌,서울특별시 강서구 등촌로55길 18,157836,7665.0,,1,,126.862841785739,37.5506402876977
18833,20255888,커피공작소,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150063000,방화1동,1150010900,방화동,1150010900102510005,1,대지,251,5.0,서울특별시 강서구 방화동 251-5,115004145399,서울특별시 강서구 양천로24길,85,,1150010900102510005003942,,서울특별시 강서구 양천로24길 85,157220,7605.0,,1,,126.815510427713,37.5694479633629
19805,26141650,맥카이하우스,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150062000,공항동,1150010800,공항동,1150010800113650007,1,대지,1365,7.0,서울특별시 강서구 공항동 1365-7,115004145357,서울특별시 강서구 방화대로6마길,36,,1150010800113650007007175,,서울특별시 강서구 방화대로6마길 36,157816,7645.0,,2,,126.817243363554,37.5536342495804
19814,12111408,스타벅스,화곡DT점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150057000,화곡4동,1150010300,화곡동,1150010300107720067,1,대지,772,67.0,서울특별시 강서구 화곡동 772-67,115003005064,서울특별시 강서구 등촌로,57,,1150010300107720067020798,스타벅스화곡점,서울특별시 강서구 등촌로 57,157896,7741.0,,,,126.863169824979,37.535001459722
21539,26099652,더플롯커피,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150052000,등촌1동,1150010200,등촌동,1150010200106560049,1,대지,656,49.0,서울특별시 강서구 등촌동 656-49,115004145188,서울특별시 강서구 공항대로45길,7,,1150010200106560049026801,,서울특별시 강서구 공항대로45길 7,157030,7572.0,,1,,126.854183064868,37.5558906961991
22908,20870810,골든서울호텔,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150051000,염창동,1150010100,염창동,1150010100102600007,1,대지,260,7.0,서울특별시 강서구 염창동 260-7,115002005007,서울특별시 강서구 공항대로,663,,1150010100102600007028127,골든서울호텔,서울특별시 강서구 공항대로 663,157862,7557.0,,1,,126.87810441885,37.5478939726201
23358,12446488,리트웨이,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150061100,발산1동,1150010600,내발산동,1150010600107500007,1,대지,750,7.0,서울특별시 강서구 내발산동 750-7,115003115007,서울특별시 강서구 수명로,68,11.0,1150010600107500007000001,발산타워,서울특별시 강서구 수명로 68-11,157937,7635.0,,,,126.826533531105,37.5522853008257
24662,20088846,스타벅스,가양이마트점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150060500,가양3동,1150010400,가양동,1150010400104490019,1,대지,449,19.0,서울특별시 강서구 가양동 449-19,115003115008,서울특별시 강서구 양천로,559,,1150010400104490019009474,가양이마트,서울특별시 강서구 양천로 559,157200,7532.0,,1,,126.861799100259,37.5581809080942
24667,14445598,디자인에버,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150059300,화곡8동,1150010300,화곡동,1150010300108800010,1,대지,880,10.0,서울특별시 강서구 화곡동 880-10,115004145228,서울특별시 강서구 국회대로7길,176,,1150010300108800011012527,,서울특별시 강서구 국회대로7길 176,157906,7781.0,,5,,126.851050982364,37.5291535750367
25043,23335626,카페라루라루,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150056000,화곡3동,1150010300,화곡동,1150010300110430001,1,대지,1043,1.0,서울특별시 강서구 화곡동 1043-1,115004145494,서울특별시 강서구 화곡로13길,26,,1150010300110430001028886,,서울특별시 강서구 화곡로13길 26,157010,7711.0,,1,,126.833510653711,37.5410284541295
25466,23359748,설빙,가양점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150052000,등촌1동,1150010200,등촌동,1150010200106280011,1,대지,628,11.0,서울특별시 강서구 등촌동 628-11,115003115008,서울특별시 강서구 양천로,504,,1150010200106280011029592,명문빌딩,서울특별시 강서구 양천로 504,157030,7548.0,,2,,126.85597059799,37.5603771558083
25662,12424237,쥬씨증미역점,증미역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150052000,등촌1동,1150010200,등촌동,1150010200106300012,1,대지,630,12.0,서울특별시 강서구 등촌동 630-12,115003115008,서울특별시 강서구 양천로,556,,1150010200106300012027291,강서메디칼센터,서울특별시 강서구 양천로 556,157839,7550.0,,3,,126.860707156685,37.5577919417425
25677,12424240,쥬씨영일고점,영일고점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150053000,등촌2동,1150010200,등촌동,1150010200105130001,1,대지,513,1.0,서울특별시 강서구 등촌동 513-1,115003005064,서울특별시 강서구 등촌로,173,,1150010200105130001025907,박진호내과의원,서울특별시 강서구 등촌로 173,157836,7668.0,,1,,126.862072433365,37.545415881226
25694,12433860,샤론,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150063000,방화1동,1150010900,방화동,1150010900102490217,1,대지,249,217.0,서울특별시 강서구 방화동 249-217,115003115012,서울특별시 강서구 초원로,72,,1150010900102490217004879,,서울특별시 강서구 초원로 72,157846,7616.0,,1,,126.813516221141,37.5674276540371
25899,23474124,카페노킹온,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150053000,등촌2동,1150010200,등촌동,1150010200105210022,1,대지,521,22.0,서울특별시 강서구 등촌동 521-22,115004145300,서울특별시 강서구 등촌로39길,56,,1150010200105210022025934,거산하이빌,서울특별시 강서구 등촌로39길 56,157030,7669.0,,1,,126.860058149938,37.5469011808419
26470,26353835,융드립커피,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150061500,우장산동,1150010600,내발산동,1150010600106690006,1,대지,669,6.0,서울특별시 강서구 내발산동 669-6,115003115009,서울특별시 강서구 우장산로,4,,1150010600106690006008061,,서울특별시 강서구 우장산로 4,157280,7680.0,,1,,126.837632907584,37.5546566871758
27106,12438216,까치산커피,치산커피,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150059300,화곡8동,1150010300,화곡동,1150010300103420001,1,대지,342,1.0,서울특별시 강서구 화곡동 342-1,115004145125,서울특별시 강서구 곰달래로25길,25,,1150010300103420001011918,,서울특별시 강서구 곰달래로25길 25,157880,7760.0,,1,,126.848858896106,37.5319164309901
27561,15995579,누쿠이커피팩토리,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150054000,화곡1동,1150010300,화곡동,1150010300103800009,1,대지,380,9.0,서울특별시 강서구 화곡동 380-9,115004145040,서울특별시 강서구 강서로29길,76,,1150010300103800009012849,,서울특별시 강서구 강서로29길 76,157885,7717.0,,1,,126.837826865661,37.538521086945
27711,15962748,이디야커피우장산동점,우장산동점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150061500,우장산동,1150010300,화곡동,1150010300100840005,1,대지,84,5.0,서울특별시 강서구 화곡동 84-5,115003115010,서울특별시 강서구 우현로,17,,1150010300100840005018576,서흥빌딩,서울특별시 강서구 우현로 17,157870,7695.0,,1,,126.843462731402,37.5472533831882
27740,12107019,콩아의카페공간,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150062000,공항동,1150010800,공항동,1150010800100550181,1,대지,55,181.0,서울특별시 강서구 공항동 55-181,115004145379,서울특별시 강서구 송정로4길,30,1.0,1150010800100550181005920,수원빌,서울특별시 강서구 송정로4길 30-1,157812,7626.0,1,1,,126.812799906233,37.5583561008349
