기준_년월_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수,연령대_10_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,연령대_60_이상_직장_인구_수,남성연령대_10_직장_인구_수,남성연령대_20_직장_인구_수,남성연령대_30_직장_인구_수,남성연령대_40_직장_인구_수,남성연령대_50_직장_인구_수,남성연령대_60_이상_직장_인구_수,여성연령대_10_직장_인구_수,여성연령대_20_직장_인구_수,여성연령대_30_직장_인구_수,여성연령대_40_직장_인구_수,여성연령대_50_직장_인구_수,여성연령대_60_이상_직장_인구_수
2021,1,A,골목상권,1000098,무수막길,164,122,42,0,8,19,21,44,72,0,1,11,14,33,63,0,7,8,7,11,9
2021,1,A,골목상권,1000099,무학로6길,1897,382,1515,4,381,232,304,595,381,0,109,92,84,68,29,4,272,140,220,527,352
2021,1,A,골목상권,1000100,무학봉28길,143,69,74,0,20,39,33,37,14,0,5,17,17,21,9,0,15,22,16,16,5
2021,1,A,골목상권,1000101,무학봉길,22,11,11,0,2,3,3,8,6,0,0,1,1,5,4,0,2,2,2,3,2
2021,1,A,골목상권,1000102,사근동길,78,48,30,2,10,24,19,15,8,2,6,13,12,9,6,0,4,11,7,6,2
2021,1,A,골목상권,1000103,상원12길,398,238,160,0,100,141,95,33,29,0,44,89,63,16,26,0,56,52,32,17,3
2021,1,A,골목상권,1000104,상원길,1919,1334,585,6,327,405,312,404,465,4,234,290,208,273,325,2,93,115,104,131,140
2021,1,A,골목상권,1000105,서울숲2길,335,196,139,0,46,89,104,57,39,0,18,45,59,39,35,0,28,44,45,18,4
2021,1,A,골목상권,1000106,성덕정17길,393,244,149,4,59,82,82,93,73,4,36,55,51,53,45,0,23,27,31,40,28
2021,1,A,골목상권,1000107,성덕정길,227,152,75,0,22,22,61,94,28,0,13,16,41,62,20,0,9,6,20,32,8
2021,1,A,골목상권,1000108,성수이로18길,2988,1968,1020,18,484,709,765,637,375,17,260,480,515,431,265,1,224,229,250,206,110
2021,1,A,골목상권,1000109,성수이로7길,1442,895,547,4,242,400,348,227,221,3,133,249,258,144,108,1,109,151,90,83,113
2021,1,A,골목상권,1000110,성수일로6길,1342,928,414,8,190,288,317,277,262,4,98,171,236,198,221,4,92,117,81,79,41
2021,1,A,골목상권,1000111,송정12라길,94,48,46,0,12,16,26,18,22,0,3,5,12,10,18,0,9,11,14,8,4
2021,1,A,골목상권,1000112,송정4가길,291,123,168,0,32,46,81,63,69,0,5,16,22,25,55,0,27,30,59,38,14
2021,1,A,골목상권,1000113,아차산로11길,3213,2213,1000,24,466,775,870,728,350,23,279,564,615,470,262,1,187,211,255,258,88
2021,1,A,골목상권,1000114,아차산로15길,3361,2374,987,11,591,881,893,595,390,0,335,634,661,420,324,11,256,247,232,175,66
2021,1,A,골목상권,1000115,아차산로5길,1871,1041,830,5,260,467,477,335,327,4,128,268,296,184,161,1,132,199,181,151,166
